NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
NY CITY CENTRAL PARK,2014-01-01,5.59,0,0,0,33,24
NY CITY CENTRAL PARK,2014-01-02,12.3,0.33,3.1,0,33,18
NY CITY CENTRAL PARK,2014-01-03,10.51,0.29,3.3,5.9,18,9
NY CITY CENTRAL PARK,2014-01-04,4.92,0,0,5.9,29,8
NY CITY CENTRAL PARK,2014-01-05,3.8,0.14,0,3.9,40,27
NY CITY CENTRAL PARK,2014-01-06,8.5,0.36,0,1.2,55,19
NY CITY CENTRAL PARK,2014-01-07,13.2,0,0,0,19,4
NY CITY CENTRAL PARK,2014-01-08,7.16,0,0,0,22,9
NY CITY CENTRAL PARK,2014-01-09,2.91,0,0,0,32,22
NY CITY CENTRAL PARK,2014-01-10,3.36,0.11,0,0,37,30
NY CITY CENTRAL PARK,2014-01-11,7.16,0.5,0,0,58,37
NY CITY CENTRAL PARK,2014-01-12,8.28,0.05,0,0,54,38
NY CITY CENTRAL PARK,2014-01-13,5.14,0,0,0,51,37
NY CITY CENTRAL PARK,2014-01-14,4.92,0.38,0,0,52,44
NY CITY CENTRAL PARK,2014-01-15,2.91,0,0,0,47,39
NY CITY CENTRAL PARK,2014-01-16,4.03,0,0,0,42,36
NY CITY CENTRAL PARK,2014-01-17,3.58,0,0,0,44,33
NY CITY CENTRAL PARK,2014-01-18,7.16,0.07,0,0,41,29
NY CITY CENTRAL PARK,2014-01-19,7.38,0,0,0,38,24
NY CITY CENTRAL PARK,2014-01-20,7.38,0,0,0,46,31
NY CITY CENTRAL PARK,2014-01-21,10.51,0.46,11,0,31,11
NY CITY CENTRAL PARK,2014-01-22,8.72,0.02,0.5,11,17,5
NY CITY CENTRAL PARK,2014-01-23,7.16,0,0,7.1,20,7
NY CITY CENTRAL PARK,2014-01-24,8.05,0,0,5.9,20,10
NY CITY CENTRAL PARK,2014-01-25,7.61,0.04,1,3.9,28,19
NY CITY CENTRAL PARK,2014-01-26,NA,0,0,3.9,34,17
NY CITY CENTRAL PARK,2014-01-27,7.83,0,0,3.1,44,21
NY CITY CENTRAL PARK,2014-01-28,6.04,0,0,1.2,21,12
NY CITY CENTRAL PARK,2014-01-29,6.49,0.04,0.8,2,23,14
NY CITY CENTRAL PARK,2014-01-30,3.8,0,0,1,30,16
NY CITY CENTRAL PARK,2014-01-31,4.92,0,0,1.2,39,25
NY CITY CENTRAL PARK,2014-02-01,3.58,0,0,1.2,45,36
NY CITY CENTRAL PARK,2014-02-02,3.13,0,0,1.2,56,39
NY CITY CENTRAL PARK,2014-02-03,6.71,1.17,8,1.2,43,27
NY CITY CENTRAL PARK,2014-02-04,2.24,0,0,7.9,35,22
NY CITY CENTRAL PARK,2014-02-05,7.16,1.43,4,9.1,34,29
NY CITY CENTRAL PARK,2014-02-06,4.03,0,0,9.1,32,21
NY CITY CENTRAL PARK,2014-02-07,6.71,0,0,9.1,32,24
NY CITY CENTRAL PARK,2014-02-08,4.92,0,0,9.1,29,21
NY CITY CENTRAL PARK,2014-02-09,3.58,0.1,1.2,7.9,31,21
NY CITY CENTRAL PARK,2014-02-10,7.16,0,0,9.8,29,21
NY CITY CENTRAL PARK,2014-02-11,5.37,0,0,9.8,26,16
